PurchaseDate	PaymentType	Quantity	Car Name	Unit Price	Company Name	Payment Amount
DateTime	String	Integer	String	Currency	String	Currency
1/26/2002	Cash	1	Mercedes-Benz: SL500 Roadster	83800	Holmes World	83800
1/29/2002	Visa	3	Mercedes-Benz: SL500 Roadster	83800	Mickeys World of Fun	251400
1/30/2002	Master	3	Mercedes-Benz: SL500 Roadster	83800	Mickeys World of Fun	251400
1/30/2002	AmEx	4	Mercedes-Benz: SL500 Roadster	83800	Jones & Assoc	335200
2/2/2002	Master	1	Mercedes-Benz: SL500 Roadster	83800	Jones & Assoc	83800
2/6/2002	Cash	2	Mercedes-Benz: SL500 Roadster	83800	Valentine Hearts	167600
2/13/2002	Cash	3	Mercedes-Benz: SL500 Roadster	83800	Mildreds World	251400
2/18/2002	AmEx	5	Mercedes-Benz: SL500 Roadster	83800	Valentine Hearts	419000
2/18/2002	Master	3	Mercedes-Benz: SL500 Roadster	83800	Development House	251400
3/5/2002	AmEx	1	Mercedes-Benz: SL500 Roadster	83800	Mildreds World	83800
3/9/2002	Visa	3	Mercedes-Benz: SL500 Roadster	83800	Valentine Hearts	251400
3/16/2002	Cash	4	Mercedes-Benz: SL500 Roadster	83800	James Systems	335200
3/26/2002	Cash	3	Mercedes-Benz: SL500 Roadster	83800	Ford Consulting	251400
3/26/2002	AmEx	1	Mercedes-Benz: SL500 Roadster	83800	Alessandro & Associates	83800
3/28/2002	Cash	2	Mercedes-Benz: SL500 Roadster	83800	Newman Systems	167600
4/12/2002	Master	2	Mercedes-Benz: SL500 Roadster	83800	Menedez Development	167600
4/24/2002	Visa	4	Mercedes-Benz: SL500 Roadster	83800	Mathewson Design	335200
5/6/2002	AmEx	2	Mercedes-Benz: SL500 Roadster	83800	Mildreds World	167600
5/14/2002	Cash	4	Mercedes-Benz: SL500 Roadster	83800	Alessandro & Associates	335200
5/17/2002	Visa	4	Mercedes-Benz: SL500 Roadster	83800	James Systems	335200
5/21/2002	AmEx	2	Mercedes-Benz: SL500 Roadster	83800	Ford Consulting	167600
5/26/2002	AmEx	4	Mercedes-Benz: SL500 Roadster	83800	Christies House of Design	335200
5/26/2002	Master	5	Mercedes-Benz: SL500 Roadster	83800	Mildreds World	419000
5/28/2002	Master	5	Mercedes-Benz: SL500 Roadster	83800	Menedez Development	419000
6/2/2002	Visa	2	Mercedes-Benz: SL500 Roadster	83800	McAllister Systems	167600
6/6/2002	Master	3	Mercedes-Benz: SL500 Roadster	83800	Mathewson Design	251400
6/12/2002	Visa	2	Mercedes-Benz: SL500 Roadster	83800	Mildreds World	167600
6/17/2002	AmEx	2	Mercedes-Benz: SL500 Roadster	83800	Jeffers Clinic	167600
7/3/2002	Master	1	Mercedes-Benz: SL500 Roadster	83800	Jeffers Clinic	83800
7/4/2002	Visa	3	Mercedes-Benz: SL500 Roadster	83800	Christies House of Design	251400
7/4/2002	Visa	2	Mercedes-Benz: SL500 Roadster	83800	Hill Corporation	167600
7/5/2002	Cash	1	Mercedes-Benz: SL500 Roadster	83800	Menedez Development	83800
7/7/2002	Cash	1	Mercedes-Benz: SL500 Roadster	83800	Development House	83800
7/24/2002	Cash	4	Mercedes-Benz: SL500 Roadster	83800	Jeffers Clinic	335200
7/30/2002	AmEx	4	Mercedes-Benz: SL500 Roadster	83800	Doe Enterprises	335200
8/1/2002	AmEx	3	Mercedes-Benz: SL500 Roadster	83800	Mathewson Design	251400
8/9/2002	AmEx	1	Mercedes-Benz: SL500 Roadster	83800	Jeffers Clinic	83800
8/9/2002	Visa	5	Mercedes-Benz: SL500 Roadster	83800	Ford Consulting	419000
8/12/2002	Cash	4	Mercedes-Benz: SL500 Roadster	83800	Alessandro & Associates	335200
8/14/2002	Visa	3	Mercedes-Benz: SL500 Roadster	83800	Holmes World	251400
8/21/2002	AmEx	5	Mercedes-Benz: SL500 Roadster	83800	Valentine Hearts	419000
8/25/2002	Cash	4	Mercedes-Benz: SL500 Roadster	83800	Frankson Media	335200
8/26/2002	AmEx	2	Mercedes-Benz: SL500 Roadster	83800	McAllister Systems	167600
8/28/2002	AmEx	4	Mercedes-Benz: SL500 Roadster	83800	Ford Consulting	335200
8/29/2002	Visa	3	Mercedes-Benz: SL500 Roadster	83800	Development House	251400
9/7/2002	Master	2	Mercedes-Benz: SL500 Roadster	83800	McAllister Systems	167600
9/10/2002	Cash	2	Mercedes-Benz: SL500 Roadster	83800	Doe Enterprises	167600
9/10/2002	Visa	4	Mercedes-Benz: SL500 Roadster	83800	Jeffers Clinic	335200
9/12/2002	AmEx	1	Mercedes-Benz: SL500 Roadster	83800	Mickeys World of Fun	83800
9/14/2002	AmEx	2	Mercedes-Benz: SL500 Roadster	83800	Mickeys World of Fun	167600
9/14/2002	Cash	4	Mercedes-Benz: SL500 Roadster	83800	Mickeys World of Fun	335200
9/15/2002	AmEx	3	Mercedes-Benz: SL500 Roadster	83800	Mickeys World of Fun	251400
